"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 15 22:09:38 UTC 2021","Mon Nov 15 22:09:39 UTC 2021","937","AnjiRestTestSuite","AnjiRestTest","com.anji.test.CreateArticleTest","com.anji.test.CreateArticleTest","testCreateArticleWithSpecialCharacters","Testing if valid user can create the article or not with special characters",""
"passed","Mon Nov 15 22:09:37 UTC 2021","Mon Nov 15 22:09:38 UTC 2021","1101","AnjiRestTestSuite","AnjiRestTest","com.anji.test.CreateArticleTest","com.anji.test.CreateArticleTest","testCreateArticle","Testing if valid user can create the article or not",""
"broken","Mon Nov 15 22:09:36 UTC 2021","Mon Nov 15 22:09:36 UTC 2021","825","AnjiRestTestSuite","AnjiRestTest","com.anji.test.CreateArticleTest","com.anji.test.CreateArticleTest","createArticleWithEmptiesAndNulls","createArticleWithEmptiesAndNulls",""
"passed","Mon Nov 15 22:09:37 UTC 2021","Mon Nov 15 22:09:37 UTC 2021","67","AnjiRestTestSuite","AnjiRestTest","com.anji.test.CreateArticleTest","com.anji.test.CreateArticleTest","testArticleCannotBeCreatedWithoutAuthorization","Testing if user can create the article without token or not",""
